Label,Outcome,Estimate,Std.Err,P-value,N,BW,Donut,Method
Horizon: 12w Downloads,cum_downloads_12wk,-0.05014638951507422,0.05299263109190028,0.3440007632641482,192115,26,Yes,rdrobust (Robust)
Horizon: 26w Downloads,cum_downloads_26wk,0.0657720584260808,0.059752403579958806,0.2710083914022129,192115,26,Yes,rdrobust (Robust)
Horizon: 52w Downloads,cum_downloads_52wk,0.035037632487103565,0.06487441013689443,0.5891390877094791,192115,26,Yes,rdrobust (Robust)
Robustness: Median RDD,total_downloads_52wk,168.70000848819473,59.376904080685506,0.00449584963774195,86842,26,Yes,QuantReg(0.5)
Table 2: Full (rdrobust),total_downloads_52wk,0.04999405391158618,0.06558601518641693,0.4459006754794278,192932,26,Yes,rdrobust (Robust)
Table 2: min10 (rdrobust),total_downloads_52wk,0.035037632487103565,0.06487441013689443,0.5891390877094791,192115,26,Yes,rdrobust (Robust)
Table 2: min100 (rdrobust),total_downloads_52wk,0.15913511213621945,0.05277971106567557,0.0025691050477556644,158460,26,Yes,rdrobust (Robust)
Table 4: Matched to GitHub,matched_to_github,-0.008495269307018903,0.006287253812276447,0.17663484051557488,192115,26,Yes,rdrobust (Robust)
Table 4: 12w Log Imports (Cond),cum_imports_12wk,0.09674195543524888,0.3379188848090081,0.7746579250878931,5876,26,Yes,rdrobust (Robust)
Table 4: 26w Log Imports (Cond),cum_imports_26wk,-0.40987800372322436,0.37532546218151785,0.2748066364711794,5876,26,Yes,rdrobust (Robust)
Table 4: 52w Log Imports (Cond),cum_imports_52wk,-0.22750274866158904,0.36411638035299543,0.532097221369177,5876,26,Yes,rdrobust (Robust)
