Tier,Outcome,Excess_Jump,Std_Err,P_value,N,Baseline_Adjusted
Broad,total_downloads_52wk,-1.2021245224110904,1.5211169448875315,0.4293580370712392,88001,False
Broad,post_ai_downloads_alltime,-9.138996432886985,4.424936790973489,0.03889089517241189,88001,False
Broad,post_ai_downloads_alltime,-7.284670550978865,2.2003278479202373,0.0009305609908756441,88001,True
Successful (min500@26w),total_downloads_52wk,-3.7237316190052097,1.6687595277671028,0.02565220164059077,75313,False
Successful (min500@26w),post_ai_downloads_alltime,-12.791775813949169,4.826844331235554,0.008046026918161172,75313,False
Successful (min500@26w),post_ai_downloads_alltime,-7.294185951618216,2.3929157817708098,0.0023018461530403935,75313,True
Superstar (min1000@26w),total_downloads_52wk,-0.21817555985814685,0.38654294347972673,0.5724630647975333,57931,False
Superstar (min1000@26w),post_ai_downloads_alltime,-0.5531040565571465,0.49171428851083365,0.26065325845379517,57931,False
Superstar (min1000@26w),post_ai_downloads_alltime,-0.2505973639465173,0.34930895973604803,0.4731218165956079,57931,True
